2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/outSourcingMng/index] onto handler 'outSourcingMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/outSourcingMng/getDetailData] onto handler 'outSourcingMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/outSourcingMng/getListData] onto handler 'outSourcingMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/stockMng/save] onto handler 'stockMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/stockMng/delete] onto handler 'stockMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/stockMng/update] onto handler 'stockMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/stockMng/index] onto handler 'stockMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/stockMng/getDetailData] onto handler 'stockMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/stockMng/getListData] onto handler 'stockMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/stockPositionMng/save] onto handler 'stockPositionMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/stockPositionMng/delete] onto handler 'stockPositionMngController'
